State/Uts,Bicycles,Two Wheelers,Auto Rickshaws,"Cars, Taxis, Vans and LMV",Trucks/Lorries,Buses,Other Non-Motorizd Vehicles(E-rickshaw etc.),Others
Andhra Pradesh,0,534,164,322,288,126,0,289
Arunachal Pradesh,8,0,0,0,0,0,0,0
Assam,0,269,43,212,75,47,2,70
Bihar,0,296,45,345,296,67,2,208
Chhattisgarh,1,160,7,85,88,9,2,226
Goa,0,12,1,22,8,7,0,0
Gujarat,1,246,74,359,271,78,14,248
Haryana,0,254,76,484,215,97,113,434
Himachal Pradesh,0,27,1,59,29,16,0,60
Jammu and Kashmir,0,20,0,40,2,3,0,23
Jharkhand,48,61,86,61,36,90,4,0
Karnataka,0,595,99,463,304,211,3,205
Kerala,0,560,73,379,54,131,0,60
Madhya Pradesh,23,389,50,363,312,109,73,250
Maharashtra,0,685,168,665,460,129,1,741
Manipur,0,4,0,15,9,2,0,2
Meghalaya,0,2,1,7,6,3,0,0
Mizoram,0,7,0,6,0,0,0,0
Nagaland,0,0,0,0,2,0,0,0
Orissa,0,195,26,145,103,37,2,116
Punjab,46,76,32,75,81,76,28,37
Rajasthan,0,662,2,475,94,177,0,33
Sikkim,0,1,0,2,1,0,0,0
Tamil Nadu,1,327,74,394,156,92,0,0
Telangana,0,290,66,263,192,112,0,326
Tripura,0,25,9,18,9,4,0,0
Uttarakhand,0,34,4,54,46,32,1,35
Uttar Pradesh,67,406,162,389,296,164,229,59
West Bengal,0,705,25,634,783,147,11,628
Andaman and Nicobar Island,0,3,0,1,1,0,1,0
Chandigarh,0,9,0,14,5,2,0,6
Dadra and Nagar Haveli,0,7,3,2,2,0,0,1
Daman and Diu,0,2,0,3,2,0,0,3
Delhi,0,46,21,87,86,79,1,44
Lakshadweep,0,0,0,0,0,0,0,0
Puducherry,0,25,0,15,6,3,0,0
